company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
IOCHPE MAXION - MYPK3,11.97,12718000,5765307000,Consumo Cíclico,Automóveis e Motocicletas, 380084000, 105891000, 404170000, 626930000, -419910000,1021036000,41.32,2.58,2.58,3.04,2.46,2.46,9.50,5.81,5.81,0.83,7.12,13.29,-14.20,7.45,29.65,1.72,6.95,6.55,64.47,6.49,4.39,-4.84,5.65,-999999,-2.04,-19.13,38.19,47.72,-999999,0.40,0.38,0.54,0.46,0.58,0.69,5.84
PETROBRÁS - PETR4,31.80,1455059000,754539057000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", 37009000000, 125166000000, 189005000000, 107264000000, 6250000000,137201000000,278.90,1.88,1.88,0.89,0.62,0.97,3.04,10.00,10.00,32.75,51.68,27.54,2.30,16.16,28.40,2.84,11.20,12.74,3.85,1.68,3.44,51.39,5.50,42.72,-2.01,36.21,246.76,-999999,-999999,1.12,1.27,1.26,0.87,0.95,1.18,18.40
ISA ENERGIA BRASIL - ISAE4,22.90,48178000,29141993000,Utilidade Pública,Energia Elétrica, 3552731000, 2892362000, 2319790000, 3037810000, 3382650000,5304934000,43.59,2.19,1.91,1.89,1.93,1.55,0.45,17.48,17.75,16.35,13.98,20.96,24.44,13.24,30.98,5.42,4.23,4.33,6.15,6.70,5.31,5.45,5.49,1.37,14.80,8.98,11.18,-9.24,46.32,0.74,0.77,1.00,0.94,1.11,1.33,10.20
MAHLE-METAL LEVE - LEVE3,29.15,9607000,4661269000,Consumo Cíclico,Automóveis e Motocicletas, 541204000, 747778000, 562364000, 566620000, 122220000,870250000,58.58,0.73,0.73,0.59,0.04,-0.11,-0.13,70.45,70.45,82.19,35.94,33.06,9.24,38.78,5.67,3.99,7.30,6.87,6.40,7.38,7.36,22.82,5.36,34.66,16.10,20.60,20.14,167.20,-6.62,5.14,4.84,5.26,2.65,2.43,2.11,9.10
KEPLER WEBER - KEPL3,7.73,15132000,1334631000,Bens Industriais,Máquinas e Equipamentos Industriais, 199183000, 245214000, 382472000, 154630000, 67660000,251889000,85.83,-0.19,-0.28,-0.47,-0.40,-0.32,-2.43,24.17,26.89,33.77,64.04,33.50,13.07,17.24,3.97,0.96,8.05,8.40,8.01,4.73,7.58,16.82,5.30,20.60,39.60,96.93,-999999,-999999,61.08,1.95,2.26,2.70,3.03,2.54,2.20,10.73
VALID - VLID3,24.71,8285000,1977964000,Bens Industriais,Serviços Diversos, 379595000, 210621000, 36510000, 57920000, -201660000,375787000,49.77,-0.09,0.02,0.56,1.50,3.68,-36.93,17.51,21.22,16.43,1.98,4.74,-19.05,14.06,21.39,3.74,6.60,5.22,7.87,30.71,11.79,-3.80,5.26,-999999,47.84,16.05,5.63,-8.11,-999999,1.16,1.11,1.29,0.61,0.56,0.72,11.70
JHSF - JHSF3,4.97,20707000,6348622000,Consumo Cíclico,Incorporações, 861546000, 497865000, 632100000, 981220000, 638850000,1223764000,29.62,2.28,2.28,2.67,2.24,0.94,0.63,15.78,15.78,9.41,13.42,22.48,17.17,11.01,7.95,1.25,3.96,2.92,8.39,5.21,3.79,8.27,5.19,6.16,21.40,20.56,-999999,-999999,42.24,0.63,0.46,0.79,0.70,0.85,1.42,7.44
SANEPAR - SAPR11,29.42,31092000,13666656000,Utilidade Pública,Água e Saneamento, 1545377000, 1503359000, 1151540000, 1177630000, 996350000,2700471000,18.60,1.45,1.64,1.59,1.74,1.38,1.43,20.21,14.81,15.43,13.11,7.66,14.35,12.62,39.82,8.05,3.66,5.24,5.87,4.53,9.67,7.89,5.06,18.96,7.43,10.99,10.91,13.44,17.84,0.74,0.78,0.91,0.59,0.74,1.13,5.29
ANIMA - ANIM3,3.98,33330000,4389676000,Consumo Cíclico,Serviços Educacionais, 204466000, -213173000, 11454000, -81330000, -40660000,878571000,182.11,2.13,2.28,3.78,4.42,6.45,0.16,4.91,3.75,-13.71,-3.70,-3.68,-1.64,13.11,5.87,0.29,13.81,7.49,-5.46,-15.25,-38.70,-39.31,5.00,-999999,-999999,-999999,-33.05,-999999,-999999,0.68,0.28,0.75,0.56,1.42,0.64,12.74
POSITIVO - POSI3,5.59,6752000,1508557000,Tecnologia da Informação,Computadores e Equipamentos, 85038000, 250861000, 306366000, 243250000, 195840000,309510000,73.78,1.95,1.95,1.41,2.24,2.64,2.36,4.91,4.91,15.54,21.71,17.05,18.60,10.02,11.54,0.57,9.86,9.14,4.00,4.39,7.72,3.78,4.87,-15.37,32.47,-999999,-999999,94.06,-999999,0.48,0.45,0.62,0.95,1.32,0.70,4.91
NATURA - NTCO3,9.39,81511000,15407062000,Consumo não Cíclico,Produtos de Uso Pessoal, -8925895000, 2974510000, -2858620000, 1139240000, -663680000,424140000,-0.50,1.71,1.71,-1.16,4.33,1.72,1.61,-56.95,-56.95,12.87,-12.80,3.67,-2.37,-2.58,11.30,-6.44,-1.46,-1.98,7.88,-5.63,33.65,-111.98,36.33,-999999,-999999,-999999,-999999,-999999,-999999,0.83,1.13,1.01,0.72,1.23,2.66,0.00
MRV - MRVE3,5.34,80775000,11834852000,Consumo Cíclico,Incorporações, -482097000, -18439000, -149341000, 902680000, 620990000,341746000,0.00,16.35,15.45,36.60,10.52,3.24,4.10,-11.55,-7.82,-0.44,-3.48,13.15,9.70,1.03,10.65,-1.23,-4.34,-5.94,-211.99,-21.12,8.39,19.39,34.63,-999999,-999999,-999999,-999999,10.13,2.55,0.50,0.46,0.94,0.73,1.10,1.88,0.00
HAPVIDA - HAPV3,2.40,171342000,22075027000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", -637112000, -740046000, -775870000, 500340000, 785300000,649678000,0.00,1.79,1.79,1.74,3.90,4.14,1.07,-1.30,-1.30,-1.51,-1.65,4.71,10.01,0.74,6.46,-0.08,-28.67,-26.64,-45.40,-47.49,157.21,146.85,33.98,-999999,-999999,-999999,-999999,-999999,-999999,0.37,0.35,0.68,0.79,7.40,14.69,0.00
VIBRA ENERGIA S.A. - VBBR3,18.16,186001000,30649040000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição", 6367000000, 4766000000, 1537000000, 2497000000, 3905000000,8769000000,25.96,1.11,1.11,1.09,2.93,3.23,1.02,31.23,31.23,30.30,12.19,20.29,31.99,16.02,18.22,5.69,3.19,3.14,5.34,11.32,9.59,6.34,3.50,10.27,23.56,8.34,5.95,-999999,-999999,1.00,0.98,1.62,1.38,1.95,2.03,9.78
AZZAS 2154 - AZZA3,39.20,87055000,9974588000,Consumo Cíclico,"Tecidos, Vestuário e Calçados", 545527000, 398673000, 422540000, 373470000, 48590000,383639000,67.43,2.35,2.35,0.42,-0.10,0.81,3.44,4.44,4.44,13.73,16.00,23.55,3.60,1.09,37.30,1.65,23.69,17.87,33.36,38.05,42.27,289.74,26.00,47.44,15.86,22.82,22.29,26.31,-16.49,1.05,0.79,4.58,6.09,9.96,10.44,2.92
TOTVS - TOTS3,39.00,143266000,23062939000,Tecnologia da Informação,Programas e Serviços, 735443000, 764435000, 523305000, 374040000, 294960000,941306000,45.02,-0.25,-0.23,-1.42,-1.11,-1.83,0.54,16.37,15.33,15.57,11.64,8.71,11.33,13.54,8.01,1.31,29.76,22.35,27.48,30.82,46.59,58.36,24.50,22.29,28.41,66.01,41.19,19.69,8.64,4.87,3.43,4.28,3.59,4.06,6.61,1.54
WEG - WEGE3,42.84,431254000,177390713000,Bens Industriais,"Motores, Compressores e Outros", 6318763000, 5867615000, 4272870000, 3657480000, 2395960000,8030568000,50.99,-0.27,-0.52,-0.60,-0.27,-0.31,-0.86,29.42,27.21,33.05,28.37,26.36,20.24,26.08,5.07,1.49,28.72,36.66,27.03,38.41,38.60,67.90,22.09,22.39,31.09,34.28,30.22,26.53,15.50,8.45,9.98,8.93,10.90,10.17,13.75,1.87
