company,current_price,liquidity,ev,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,ebit,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
COPASA - CSMG3,26.52,46715000,15368644000,Utilidade Pública,Água e Saneamento, 1316920000, 1379346000, 843362000,-999999,-999999,2079002000,51.12,1.82,1.89,1.44,1.52,-999999,-999999,16.80,16.36,18.21,11.63,-999999,-999999,11.83,21.82,3.67,7.23,6.01,5.65,7.07,-999999,-999999,7.39,11.29,11.79,18.97,8.52,-999999,-999999,1.22,0.98,1.03,0.82,-999999,-999999,7.39
CAMIL - CAML3,5.20,6467000,4800802000,Consumo não Cíclico,Alimentos Diversos, 217001000, 360445000, 478719000,-999999,-999999,640999000,35.47,3.39,3.39,3.28,2.86,-999999,-999999,6.28,6.28,11.67,16.60,-999999,-999999,6.70,9.88,0.62,8.39,9.44,8.21,6.07,-999999,-999999,7.49,-14.05,-1.96,-0.11,13.81,-999999,-999999,0.53,0.59,0.96,1.01,-999999,-999999,5.89
COGNA EDUCAÇÃO - COGN3,2.81,95369000,10725350000,Consumo Cíclico,Serviços Educacionais, 991631000, -511349000, -541001000,-999999,-999999,1423218000,12.73,1.49,2.94,5.04,7.98,-999999,-999999,7.90,7.10,-4.23,-4.34,-999999,-999999,5.76,6.63,0.52,5.36,2.32,-13.29,-7.52,-999999,-999999,7.54,-999999,32.52,-999999,-999999,-999999,-999999,0.42,0.17,0.56,0.33,-999999,-999999,2.40
NEOENERGIA - NEOE3,24.81,21209000,75010309000,Utilidade Pública,Energia Elétrica, 3709000000, 4527000000, 4787000000,-999999,-999999,9901000000,28.71,3.51,3.55,3.09,3.10,-999999,-999999,10.38,11.14,14.94,17.64,-999999,-999999,10.42,27.85,2.89,8.58,6.31,5.81,3.97,-999999,-999999,7.58,4.20,9.94,23.22,60.35,-999999,-999999,0.89,0.70,0.87,0.70,-999999,-999999,4.00
RANDON - RAPT4,8.71,28652000,9633239000,Bens Industriais,Material Rodoviário, 691696000, 663489000, 666410000,-999999,-999999,1238944000,42.37,4.22,2.75,1.58,1.52,-999999,-999999,10.27,12.65,13.74,17.19,-999999,-999999,8.31,9.43,0.97,8.99,7.98,11.04,5.73,-999999,-999999,7.78,-7.02,18.14,23.94,44.79,-999999,-999999,0.92,1.01,1.52,0.99,-999999,-999999,4.71
GRUPO SBF - SBFG3,11.72,18950000,4690330000,Consumo Cíclico,Produtos Diversos, 535834000, 168812000, 204606000,-999999,-999999,602377000,31.13,2.23,2.34,2.99,2.80,-999999,-999999,19.46,17.80,6.66,8.51,-999999,-999999,10.87,11.91,2.32,5.05,4.88,16.92,15.21,-999999,-999999,7.79,-999999,11.59,-999999,-999999,-999999,-999999,0.98,0.87,1.13,1.29,-999999,-999999,4.80
IRANI - RANI3,7.25,4474000,2832003000,Materiais Básicos,Papel e Celulose, 304519000, 383434000, 378209000,-999999,-999999,352591000,49.26,2.01,2.11,1.54,1.09,-999999,-999999,22.84,22.28,29.96,33.62,-999999,-999999,8.07,5.89,1.35,5.39,5.37,6.83,5.10,-999999,-999999,8.03,28.31,-999999,163.63,-999999,-999999,-999999,1.23,1.20,2.05,1.72,-999999,-999999,9.10
QUALICORP - QUAL3,1.84,3823000,1392881000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 15063000, -75410000, 101489000,-999999,-999999,173485000,0.00,1.59,1.69,2.11,1.98,-999999,-999999,0.29,0.51,-6.49,6.89,-999999,-999999,5.22,4.57,0.01,138.73,65.62,-11.71,17.96,-999999,-999999,8.03,-49.91,-47.91,-999999,-23.44,-999999,-999999,0.40,0.34,0.76,1.24,-999999,-999999,0.00
ODONTOPREV - ODPV3,11.55,22582000,5883434000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos", 539133000, 511590000, 451370000,-999999,-999999,731628000,138.30,-0.64,-0.51,-0.54,-0.39,-999999,-999999,41.21,43.92,36.87,38.14,-999999,-999999,36.23,2.47,1.02,11.35,11.13,12.55,11.03,-999999,-999999,8.04,9.33,13.61,12.39,-2.14,-999999,-999999,4.68,4.89,4.63,4.21,-999999,-999999,8.21
HELBOR - HBOR3,2.71,3383000,1857126000,Consumo Cíclico,Incorporações, 163020000, 172845000, 107746000,-999999,-999999,225212000,23.71,5.80,5.58,6.42,8.67,-999999,-999999,3.91,3.89,3.61,3.72,-999999,-999999,6.20,10.91,0.43,6.35,3.27,9.29,5.35,-999999,-999999,8.25,21.70,-999999,-999999,-999999,-999999,-999999,0.25,0.13,0.34,0.20,-999999,-999999,3.89
