company,current_price,liquidity,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
GRENDENE - GRND3,5.36,12063000,Consumo Cíclico,Calçados, 735236000, 557674000, 568027000, 601010000, 405210000,50.24,-1.69,-1.69,-2.22,-2.86,-2.31,-3.60,18.19,18.19,15.24,13.02,14.68,9.58,11.62,4.48,0.81,6.58,5.99,11.44,9.58,12.98,18.66,6.74,12.65,8.24,-0.97,-2.98,-1.06,-5.56,1.20,1.09,1.74,1.25,1.91,1.79,12.41
VULCABRAS - VULC3,17.10,11158000,Consumo Cíclico,Calçados, 569867000, 494883000, 469930000, 313840000, 31550000,61.45,0.04,0.04,0.12,0.42,0.91,2.78,27.01,27.01,24.81,27.46,23.14,2.81,22.36,7.68,2.07,8.24,7.48,11.18,7.29,8.00,69.47,8.14,78.38,31.84,26.61,19.99,54.46,-,2.23,2.02,2.77,2.00,1.85,1.95,8.16
SPRINGS GLOBAL - SGPS3,1.64,-,Consumo Cíclico,Fios e Tecidos, -645535000, -153580000, -320940000, 45720000, 111572000,0.00,-1.11,-5.19,3.70,8.96,-,-,-228.29,-170.47,-15.51,-29.02,-,-,-263.68,-9.38,-21.42,-0.08,-0.10,-1.60,-1.21,-,-,-1.08,-,-,-,-,-,-,-0.17,0.18,0.25,0.35,-,-,0.00
COTEMINAS - CTNM4,0.86,-,Consumo Cíclico,Fios e Tecidos, -575217000, -141430000, -361270000, -42400000, 231600000,0.00,-3.75,-9.22,4.38,16.74,-,-,-197.21,-94.90,-10.65,-25.14,-,-,-27.22,7.84,-15.47,-0.06,-0.15,-1.38,-0.88,-,-,-3.03,-,-,-,-,-,-,0.11,0.14,0.15,0.21,-,-,0.00
ENCORPAR - ECPR3,23.15,-,Consumo Cíclico,Fios e Tecidos, -17370000, -55350000, -17690000, 29366000, 46156000,0.00,4.78,4.78,0.00,-,-,-,-12.28,-12.28,-35.04,-,-,-,-7.36,74.46,-9.14,-2.53,-8.74,-2.64,-,-,-,-3.17,-,-,-,-,-,-,0.31,1.07,0.93,-,-,-,0.00
TEKA - TEKA4,21.25,-,Consumo Cíclico,Fios e Tecidos, -151545000, -159684000, -80120000, -115790000, -129040000,0.00,-60.60,2900.57,-4.88,18.83,222.46,-,-7.76,-7.32,-8.33,-4.56,-6.90,-,0.99,-4378.04,-339.62,-0.06,-0.07,-0.07,-0.06,-0.06,-,-43.28,-,-,-,-,-,-,0.00,-0.01,-0.01,-0.00,-0.00,-,0.00
JHSF - JHSF3,5.06,23731000,Consumo Cíclico,Incorporações, 861546000, 497865000, 632100000, 981220000, 638850000,29.61,2.28,2.28,2.67,2.24,0.94,0.63,15.78,15.78,9.41,13.42,22.48,17.17,11.01,7.95,1.25,4.03,2.92,8.39,5.21,3.79,8.27,5.24,6.16,21.40,20.56,-,-,42.24,0.64,0.46,0.79,0.70,0.85,1.42,7.34
CYRELA - CYRE3,25.53,139060000,Consumo Cíclico,Incorporações, 1921052000, 1105700000, 858590000, 1017310000, 1829500000,13.90,1.40,1.40,2.06,2.66,1.41,0.47,18.54,18.54,12.25,11.36,14.75,31.98,12.16,23.16,4.29,5.95,3.95,9.82,6.20,6.63,6.43,6.39,0.98,29.17,183.57,-,32.98,25.27,1.10,0.73,1.20,0.70,0.98,2.06,4.19
EVEN - EVEN3,5.81,6132000,Consumo Cíclico,Incorporações, 162298000, 341294000, 195032000, 286220000, 53350000,428.87,3.10,3.10,1.30,-1.41,1.15,5.94,2.34,2.34,11.10,5.46,10.26,0.68,2.80,9.00,0.21,27.60,25.46,7.59,8.78,5.70,163.76,12.22,24.92,2.60,-,-,48.30,-18.59,0.65,0.60,0.84,0.48,0.58,1.11,15.54
EZ TEC - EZTC3,14.11,28869000,Consumo Cíclico,Incorporações, 428718000, 246096000, 342110000, 452140000, 415030000,61.62,1.01,1.01,0.45,-0.96,-2.77,-3.83,8.42,8.42,5.15,7.26,10.04,9.95,4.99,21.74,1.83,7.71,5.92,17.26,9.14,10.51,23.40,10.42,0.65,8.10,19.22,-1.09,14.25,-1.36,0.65,0.50,0.89,0.66,1.06,2.33,8.00
DIRECIONAL ENGENHARIA - DIRR3,35.87,62565000,Consumo Cíclico,Incorporações, 727668000, 386877000, 276553000, 208770000, 150120000,90.50,0.02,0.02,0.04,0.51,3.41,4.07,31.67,31.67,16.97,15.70,12.06,9.31,18.92,11.62,3.68,9.75,7.23,11.72,12.99,13.82,20.09,8.27,37.12,43.21,-,-,-,-0.79,3.09,2.29,1.99,2.04,1.67,1.87,9.28
CR2 EMPREENDIMENTOS - CRDE3,16.00,-,Consumo Cíclico,Incorporações, -6449000, -6980000, -15440000, -6890000, -15705000,0.00,0.49,2.90,-0.13,0.00,-,-,-13.93,-6.91,-6.95,-14.40,-,-,-11.24,34.21,-4.77,-3.36,-6.05,-5.76,-4.34,-,-,-3.79,-,-,-,-,-,-,0.47,0.42,0.40,0.63,-,-,0.00
MELHORAMENTOS - MSPA4,36.30,-,Consumo Cíclico,"Jornais, Livros e Revistas", 3312000, 7881000, 1512000, -32520000, -54830000,56.55,2.40,2.40,1.47,11.10,-20.69,-1.21,0.39,0.39,0.94,0.18,-3.95,-6.63,1.92,132.18,0.52,70.20,70.20,32.51,173.68,-9.06,-4.92,12.21,-,-,10.99,-47.56,-,-,0.27,0.27,0.31,0.32,0.36,0.33,0.88
LOJAS RENNER - LREN3,13.84,208003000,Consumo Cíclico,"Tecidos, Vestuário e Calçados", 1196668000, 976259000, 1291703000, 633120000, 1096270000,58.06,-0.73,-0.73,-0.59,-0.45,-1.44,0.43,11.11,11.11,9.72,12.80,6.46,19.93,9.69,10.17,1.13,12.25,10.73,17.19,15.27,37.18,34.78,10.19,1.77,1.72,-0.88,12.01,0.26,13.62,1.36,1.19,1.67,1.96,2.40,6.93,4.95
AZZAS 2154 - AZZA3,30.34,48403000,Consumo Cíclico,"Tecidos, Vestuário e Calçados", 545527000, 398673000, 422540000, 373470000, 48590000,67.43,2.35,2.35,0.42,-0.10,0.81,3.44,4.44,4.44,13.73,16.00,23.55,3.60,1.09,37.30,1.65,18.33,17.87,33.36,38.05,42.27,289.74,21.23,47.44,15.86,22.82,22.29,26.31,-16.49,0.81,0.79,4.58,6.09,9.96,10.44,3.68
BRASILAGRO - AGRO3,21.56,4524000,Consumo não Cíclico,Agricultura, 280536000, 263578000, 142009000, 558550000, 110770000,56.95,2.66,2.66,2.42,1.42,-0.13,1.76,12.74,12.74,13.34,6.92,29.57,17.40,8.97,21.45,2.73,7.89,8.10,10.41,21.66,4.08,13.15,9.45,20.42,22.44,2.69,19.90,-,-11.73,1.01,1.03,1.39,1.50,1.21,2.29,7.22
SLC AGRICOLA - SLCE3,20.01,59403000,Consumo não Cíclico,Agricultura, 481723000, 937890000, 1336720000, 1130760000, 510950000,72.23,2.01,2.01,1.29,0.87,1.45,0.88,12.74,12.74,18.18,27.56,30.13,16.62,15.43,9.02,1.15,17.41,15.23,9.32,7.46,7.77,10.29,8.25,-1.17,8.86,18.20,29.34,135.41,33.35,2.22,1.94,1.69,2.06,2.34,1.71,4.15
CAMIL - CAML3,4.27,7589000,Consumo não Cíclico,Alimentos Diversos, 360445000, 478719000, 462686000, 462670000, 239630000,29.48,4.64,3.28,2.86,2.73,0.74,-,9.80,11.67,16.60,17.08,20.57,-,6.69,10.15,0.99,4.29,8.21,6.07,8.61,8.37,-,8.34,-5.52,-0.11,13.81,18.08,-,-,0.42,0.96,1.01,1.47,1.72,-,6.87
M.DIAS BRANCO - MDIA3,24.83,13480000,Consumo não Cíclico,Alimentos Diversos, 645948000, 888654000, 481840000, 504990000, 763850000,27.30,0.18,0.18,-0.07,1.74,0.28,0.37,8.08,8.08,11.69,7.18,7.18,11.49,6.28,23.59,1.91,13.03,10.52,14.74,25.21,17.11,15.12,10.41,-3.30,2.90,4.20,-10.61,-8.43,4.81,1.05,0.85,1.72,1.81,1.23,1.74,2.22
SÃO MARTINHO - SMTO3,20.10,36432000,Consumo não Cíclico,Açucar e Alcool, 1078972000, 1000874000, 1089302000, 1462800000, 862410000,41.53,2.23,2.23,2.58,1.77,1.34,1.56,16.56,16.56,15.45,18.82,30.21,25.77,11.77,19.60,3.25,6.19,7.17,9.74,8.09,7.83,10.55,6.37,4.58,12.93,21.26,18.93,44.35,36.51,1.03,1.19,1.50,1.52,2.36,2.72,6.71
AMBEV - ABEV3,14.09,505855000,Consumo não Cíclico,Cervejas e Refrigerantes, 14846952000, 14960423000, 14891300000, 13122580000, 11731910000,86.81,-0.91,-0.91,-0.51,-0.47,-0.69,-0.66,14.64,14.64,18.36,17.64,15.33,15.42,16.81,6.26,0.92,15.38,12.82,14.92,15.83,19.18,21.68,8.97,4.82,4.03,5.68,13.84,0.06,-1.85,2.25,1.88,2.74,2.79,2.94,3.34,5.64
SARAIVA - SLED4,10.00,-,Consumo não Cíclico,Produtos Diversos, 115778000, 46210000, -419630000, -318066000, -301757000,0.00,0.40,0.27,5.14,-0.72,-,-,-18.07,-33.29,-9.26,-76.98,-,-,-15.91,-39.57,7.15,1.40,0.20,1.30,-0.51,-,-,2.41,-,-,-,-,-,-,-0.25,-0.07,-0.12,-0.40,-,-,0.00
BANCO DO BRASIL - BBAS3,28.01,492396000,Financeiro,Bancos, 29171564000, 33165589000, 29849330000, 19722869000, 13292883000,57.04,-,-,-,-,-,-,14.67,14.67,18.91,18.78,12.85,11.39,14.61,31.34,4.60,6.09,5.25,4.96,3.33,4.51,8.36,5.79,17.02,9.08,21.26,22.36,17.89,-3.39,0.89,0.77,0.94,0.63,0.58,0.95,9.29
BANCO ITAU UNIBANCO - ITUB4,34.62,830175000,Financeiro,Bancos, 42128000000, 33877000000, 30737000000, 28384000000, 15064000000,68.59,-,-,-,-,-,-,18.57,18.57,17.41,17.68,16.27,12.23,19.04,20.52,3.81,9.09,7.33,10.06,8.25,7.68,16.41,7.35,22.84,8.66,5.73,5.76,5.21,-10.45,1.69,1.36,1.75,1.46,1.25,2.01,7.60
BANCO BRADESCO - BBDC3,11.97,85026000,Financeiro,Bancos, 17542153000, 14502765000, 21217200000, 20512720000, 16546590000,65.32,-,-,-,-,-,-,10.24,10.24,8.60,13.37,13.99,11.55,9.65,15.90,1.63,7.35,6.53,11.31,6.72,7.60,12.80,7.94,1.18,-4.93,-2.84,4.15,2.66,-1.93,0.75,0.67,0.97,0.90,1.06,1.48,10.19
BANCO ABC BRASIL - ABCB4,21.37,10341000,Financeiro,Bancos, 1041398000, 810075000, 800240000, 571320000, 322090000,38.65,-,-,-,-,-,-,16.30,16.30,13.79,15.37,3.23,7.51,17.50,26.11,4.26,5.02,4.54,7.57,5.91,25.78,11.90,4.47,26.45,14.53,14.23,13.36,7.84,-3.68,0.82,0.74,1.04,0.91,0.83,0.89,7.70
SANTANDER - SANB11,27.88,70825000,Financeiro,Bancos, 13413763000, 9498812000, 12358530000, 14995520000, 13456160000,45.12,-,-,-,-,-,-,11.19,11.19,8.28,15.08,47.35,11.47,11.23,31.87,3.56,7.82,6.68,12.78,8.55,2.18,17.31,5.44,-0.06,-4.21,-5.79,6.22,14.97,6.47,0.87,0.75,1.06,1.29,1.03,1.99,5.77
BANCO BANRISUL - BRSR6,11.25,11580000,Financeiro,Bancos, 727798000, 1012437000, 842250000, 995210000, 727480000,61.44,-,-,-,-,-,-,6.98,6.98,10.26,8.85,5.85,8.72,6.99,25.47,1.78,6.33,5.74,5.40,4.71,7.80,8.19,6.22,0.01,-11.55,-0.70,-4.37,8.57,-3.04,0.44,0.40,0.55,0.42,0.46,0.71,9.71
BANCO BTG PACTUAL - BPAC11,36.60,283880000,Financeiro,Bancos, 11789387000, 9924566000, 7841840000, 5984610000, 3280120000,27.92,-,-,-,-,-,-,20.52,20.52,20.10,18.51,14.67,12.29,21.74,14.98,3.07,11.91,8.85,14.53,11.71,14.68,27.48,14.25,29.16,25.73,50.66,30.57,4.88,41.61,2.44,1.82,2.92,2.17,2.15,3.38,2.35
BANCO PAN - BPAN4,7.54,8729000,Financeiro,Bancos, 528227000, 591678000, 668280000, 771730000, 655570000,58.17,-,-,-,-,-,-,7.03,7.03,7.96,9.38,8.04,12.34,3.77,5.90,0.42,18.16,15.27,18.56,11.53,28.26,18.45,27.93,-4.23,0.47,24.44,43.43,-,35.43,1.28,1.07,1.48,1.08,2.27,2.28,3.20
MULTIPLAN - MULT3,25.50,110324000,Financeiro,Exploração de Imóveis, 1340986000, 1169196000, 769390000, 452700000, 963980000,40.61,2.28,2.29,1.20,1.54,3.67,2.27,22.76,23.75,14.72,11.69,7.12,15.47,13.86,11.07,2.52,10.12,8.16,14.46,14.78,21.45,12.67,10.19,6.29,23.37,19.96,15.86,7.74,21.64,2.30,1.94,2.13,1.73,1.53,1.96,4.33
LOG COMMERCIAL PROPERTIES - LOGG3,20.01,3879000,Financeiro,Exploração de Imóveis, 344376000, 194962000, 400698000, 383240000, 142580000,43.95,3.73,3.73,5.66,2.95,2.53,1.37,9.58,9.58,5.15,10.77,11.14,4.57,7.70,40.82,3.91,5.12,4.61,10.42,3.67,6.02,21.48,7.37,19.29,29.84,32.87,60.68,60.80,52.67,0.49,0.44,0.54,0.40,0.67,0.98,8.58
IGB ELETRÔNICA - IGBR3,175.99,-,Financeiro,Exploração de Imóveis, -54160000, -84810000, -87910000, -72110000, 44000000,0.00,105.21,0.07,0.36,-,-,-,-60.10,-5.19,-8.58,-,-,-,-146.76,-520.56,312.87,0.56,-0.59,-1.47,-,-,-,1.06,-,-,-,-,-,-,-0.34,-0.03,-0.13,-,-,-,0.00
ITAUSA - ITSA4,10.57,310203000,Financeiro,Holdings Diversificadas, 14887000000, 13978000000, 14154000000, 13291000000, 7344000000,71.93,0.24,0.24,0.20,0.34,0.25,0.16,16.34,16.34,16.23,18.78,18.52,12.30,16.00,8.34,1.36,7.76,6.48,7.95,6.17,6.02,12.42,7.25,15.18,7.09,8.18,10.99,10.16,-3.97,1.27,1.06,1.29,1.16,1.12,1.53,8.71
BRADESPAR - BRAP4,17.59,97039000,Financeiro,Holdings Diversificadas, 1192208000, 1896619000, 3727679000, 8079260000, 1467060000,66.43,-0.25,-0.25,-0.13,-0.11,-0.04,-0.04,14.05,14.05,24.21,49.86,107.68,13.03,13.37,21.58,3.03,5.80,5.47,5.32,3.13,1.22,12.42,5.73,-4.06,-,9.76,9.87,66.61,-,0.82,0.77,1.29,1.56,1.31,1.62,18.26
BLUE TECH SOLUTIONS - BLUT4,1.52,-,Financeiro,Holdings Diversificadas, -4670000, -6481000, -4340000, 16630000, -1438000,0.00,-,-,-,-,-,-,-8.26,-8.26,-19.29,-,-,-,-7.53,11.09,-0.92,-1.66,0.00,0.00,-,-,-,-3.31,-,-,-,-,-,-,0.14,0.00,0.00,-,-,-,0.00
INVESTIMENTOS BEMGE - FIGE3,11.94,-,Financeiro,Outros, 12012000, 10368000, 6550000, 3400000, 7770000,1.01,-,-,-,-,-,-,6.71,7.50,6.99,2.76,1.47,-,6.73,71.41,4.79,2.49,2.36,2.74,0.00,0.00,-,0.57,27.23,2.65,-3.03,-16.05,-24.92,-,0.17,0.18,0.19,0.00,0.00,-,0.38
BB SEGURIDADE - BBSE3,42.05,186838000,Financeiro,Seguradoras, 8703353000, 7947203000, 6044569000, 3933210000, 3850250000,85.28,-,-,-,-,-,-,89.77,89.77,80.96,79.57,54.02,60.26,83.03,4.85,4.35,9.66,8.31,8.47,11.15,10.55,15.39,7.75,17.72,5.50,17.56,8.34,-0.41,-,8.67,7.46,6.86,8.88,5.70,9.27,8.71
PORTO SEGURO - PSSA3,42.39,64425000,Financeiro,Seguradoras, 2690782000, 2314857000, 1152298000, 1544260000, 1688210000,37.67,-2.73,-2.73,-3.77,-10.03,-6.06,-11.33,18.82,18.82,18.25,10.72,16.03,18.83,13.14,21.73,4.09,10.36,8.94,8.20,13.19,8.76,9.38,5.74,9.77,14.30,12.07,0.97,11.12,11.08,1.95,1.68,1.50,1.41,1.40,1.77,5.16
CIA SEGUROS ALIANÇA DA BAHIA - CSAB4,48.97,-,Financeiro,Seguradoras, 18234000, 9310000, 51040000, 16780000, 14050000,0.00,-19.96,2.10,8.43,8.58,-,-,8.94,9.60,5.36,25.66,-,-,5.86,27.56,2.46,19.89,19.37,35.27,7.52,-,-,19.39,-18.01,-2.03,-30.14,2.02,-,-,1.78,1.86,1.82,1.93,-,-,0.00
B3 - B3SA3,13.39,433990000,Financeiro,Serviços Financeiros Diversos, 4576691000, 4132512000, 4227302000, 4717090000, 4150720000,35.51,-0.01,-0.01,-0.31,-0.42,-0.67,-1.27,24.91,24.91,20.38,20.85,21.05,16.94,14.24,3.49,0.87,15.41,11.88,18.55,16.39,12.44,26.20,11.65,1.97,11.02,14.63,26.66,26.68,13.50,3.84,2.96,3.78,3.42,2.62,4.44,2.30
DEXCO - DXCO3,5.47,17950000,Materiais Básicos,Madeira, 174375000, 811270000, 764928000, 1725690000, 453990000,136.45,2.19,2.19,1.72,1.71,0.92,1.09,2.47,2.47,12.33,12.87,30.09,8.75,5.70,8.50,0.21,26.03,28.37,8.39,7.36,6.47,28.60,9.84,-17.42,-15.54,13.44,32.83,131.01,18.81,0.64,0.70,1.03,0.95,1.95,2.50,0.98
VALE - VALE3,53.85,1384132000,Materiais Básicos,Minerais Metálicos, 30431000000, 40554000000, 96337000000, 121450940000, 24901400000,68.61,0.99,0.90,0.62,0.36,0.07,0.11,15.57,15.28,20.91,51.27,63.01,15.16,16.32,44.52,6.93,7.77,7.84,8.77,4.21,2.92,14.86,5.86,3.98,-,9.54,40.38,55.64,-,1.21,1.20,1.83,2.16,1.84,2.25,8.83
MMX MINERAÇÃO E METÁLICOS - MMXM3,14.00,-,Materiais Básicos,Minerais Metálicos, -81050000, -120700000, -111580000, -27800000, 412820000,0.00,1926.24,1761.79,-,-,-,-,-4.97,-9.93,-,-,-,-,0.28,-130.13,-6.46,-2.17,-1.36,-,-,-,-,-706.88,-,-,-,-,-,-,-0.11,-0.14,-,-,-,-,0.00
