company,current_price,liquidity,sector,segment,profit_last_year,profit_2y,profit_3y,profit_4y,profit_5y,payout (%),divida_EBITDA,divida_EBITDA_1y,divida_EBITDA_2y,divida_EBITDA_3y,divida_EBITDA_4y,divida_EBITDA_5y,roe (%),roe_1y (%),roe_2y (%),roe_3y (%),roe_4y (%),roe_5y (%),roic (%),vpa,lpa,pl,pl_1y,pl_2y,pl_3y,pl_4y,pl_5y,ev_ebit,cagr (%),cagr_1y (%),cagr_2y (%),cagr_3y (%),cagr_4y (%),cagr_5y (%),pvp,pvp_1y,pvp_2y,pvp_3y,pvp_4y,pvp_5y,dy (%)
POSITIVO - POSI3,5.94,7069000,Tecnologia da Informação,Computadores e Equipamentos, 85038000, 250861000, 306366000, 243250000, 195840000,73.78,1.95,1.95,1.41,2.24,2.64,2.36,4.91,4.91,15.54,21.71,17.05,18.60,10.02,11.54,0.57,10.48,9.14,4.00,4.39,7.72,3.78,5.03,-15.37,32.47,-,-,94.06,-,0.51,0.45,0.62,0.95,1.32,0.70,7.04
TOTVS - TOTS3,37.52,107028000,Tecnologia da Informação,Programas e Serviços, 735443000, 764435000, 523305000, 374040000, 294960000,49.29,-0.23,-0.23,-1.42,-1.11,-1.83,0.54,15.33,15.33,15.57,11.64,8.71,11.33,12.39,7.81,1.20,31.34,22.35,27.48,30.82,46.59,58.36,25.32,20.05,28.41,66.01,41.19,19.69,8.64,4.80,3.43,4.28,3.59,4.06,6.61,1.57
VIVO - TELEFÔNICA BRASIL - VIVT3,27.15,109327000,Telecomunicações,Telecomunicações, 5557687000, 5039977000, 4057910000, 6229370000, 4770526000,82.33,0.61,0.61,0.67,0.88,0.55,0.42,7.95,7.95,7.23,5.97,8.92,6.86,8.98,21.40,1.70,15.96,13.75,17.33,15.31,12.59,15.89,11.82,3.10,2.13,-10.81,-2.51,8.80,6.88,1.27,1.09,1.25,0.91,1.12,1.09,3.86
TIM - TIMS3,18.61,107521000,Telecomunicações,Telecomunicações, 3153881000, 2836950000, 1670760000, 2957180000, 1843690000,95.37,-0.21,-0.21,-0.11,0.02,1.29,0.65,11.94,11.94,10.90,6.58,11.78,1.82,17.68,10.91,1.30,14.28,11.11,15.30,17.97,10.76,84.01,7.70,11.33,-2.73,2.19,6.24,31.56,-2.30,1.71,1.33,1.67,1.18,1.27,1.53,8.86
TAESA - TAEE11,35.97,49330000,Utilidade Pública,Energia Elétrica, 1693242000, 1367734000, 1449206000, 2213720000, 2262930000,58.40,3.13,3.13,3.57,2.88,1.80,1.67,24.40,24.40,24.00,22.06,33.12,37.55,16.11,20.14,4.92,7.32,6.69,8.25,8.24,5.66,5.07,7.48,-5.64,11.06,5.01,17.46,20.76,20.00,1.79,1.63,1.98,1.82,1.87,1.91,7.98
CEMIG - CMIG4,10.93,165735000,Utilidade Pública,Energia Elétrica, 7119287000, 5766835000, 4094367000, 3752872000, 2865120000,77.05,0.89,0.89,0.88,1.08,1.10,1.75,26.00,26.00,23.39,18.79,19.28,16.39,19.27,9.57,2.49,4.39,4.47,4.38,5.99,5.92,7.72,2.48,19.97,17.88,27.06,32.53,62.15,3.02,1.14,1.16,1.03,1.13,1.14,1.27,13.17
ISA ENERGIA BRASIL - ISAE4,23.28,44140000,Utilidade Pública,Energia Elétrica, 3552731000, 2892362000, 2319790000, 3037810000, 3382650000,44.46,1.91,1.91,1.89,1.93,1.55,0.45,17.75,17.75,16.35,13.98,20.96,24.44,13.69,29.92,5.31,4.38,4.33,6.15,6.70,5.31,5.45,5.36,0.99,14.80,8.98,11.18,-9.24,46.32,0.78,0.77,1.00,0.94,1.11,1.33,10.14
ENGIE BRASIL - EGIE3,40.26,55880000,Utilidade Pública,Energia Elétrica, 4302841000, 3429060000, 2664567000, 1565190000, 2797270000,32.47,2.25,2.25,2.04,2.23,2.52,1.89,37.98,37.98,38.70,31.57,19.72,36.14,17.98,13.81,5.24,7.68,6.77,10.78,11.61,20.04,12.82,6.84,8.99,13.24,8.17,5.86,0.22,13.25,2.92,2.57,4.17,3.66,3.95,4.63,6.63
COPEL - CPLE6,11.28,158171000,Utilidade Pública,Energia Elétrica, 2799370000, 2327168000, 1149320000, 5048600000, 3909760000,61.13,2.37,2.37,1.84,2.32,1.28,1.28,10.94,10.94,9.46,5.34,22.33,19.56,8.07,8.61,0.94,11.98,9.71,13.68,21.22,3.88,5.73,11.17,-6.46,6.30,10.11,0.55,42.00,25.31,1.31,1.06,1.29,1.13,0.87,1.12,7.23
CPFL ENERGIA - CPFE3,39.04,61607000,Utilidade Pública,Energia Elétrica, 5761554000, 5537161000, 5218810000, 4853750000, 3706990000,58.14,1.93,1.93,1.63,1.69,2.14,1.93,26.33,26.33,29.28,31.37,31.35,26.14,17.17,17.99,4.74,8.24,6.67,8.03,7.50,6.51,10.29,6.48,9.22,15.96,20.65,33.23,40.74,33.47,2.17,1.76,2.35,2.35,2.04,2.69,0.00
